X,Y,OBJECTID,WQM_ID,LU_TYPE_CDE_KEY,TYPE,SCN_SRV_CODE_NAME,MNTR_TYPE,WTRB_TYPE,LCTN_DSCR,MNTR_SITE_STS,CTMT_CSTL,DSTR,PLNG_RGN
2053809.12514446,-3962692.30074285,619,INLD_407,1,INLD,MOD02,Chemical & Bacterial,River,"Louwskloof River, tributary of Modder River downstream of Mamre town",Routine,Atls,1,C
2057637.10702544,-4005954.75165429,620,INLD_414,1,INLD,RTVD5,Chemical & Bacterial,Vlei & Wetland,"Dolphins edge pan, Rietvlei - North",Routine,Diep,1,C
2057602.34933696,-4006033.85068687,621,INLD_413,1,INLD,RTVD1,Chemical & Bacterial,Vlei & Wetland,"Dolphins edge pan, Rietvlei - South",Routine,Diep,1,C
2054787.16704835,-4017968.50154741,622,INLD_409,1,INLD,NR30,Chemical & Bacterial,Canal,"Near truck stop, Nereide Street, Woodstock ",Routine,City,5,C
2063407.18879469,-4002139.71582139,623,INLD_412,1,INLD,RTV38,Chemical & Bacterial,River,Upstream of Malibongwe Drive,Routine,Diep,1,C
2094244.63010457,-4042214.38561923,624,INLD_405,1,INLD,LOU15,Chemical & Bacterial,River,"Just before confluence with Lourens River, near pump station on Beach Road, Strand",Routine,Lourens,4,E
2048537.02000672,-4052209.80758208,625,INLD_402,1,INLD,GC08,Chemical & Bacterial,River,"Brooklands Road, Noordhoek. Upstream of Brooklands Water Treatment Plant",Routine,SPen,8,S
2052867.88364146,-4034633.25068563,626,INLD_384,1,INLD,CR31,Chemical & Bacterial,River,Downstream of Grootboschkloof and Pagasvlei Stream at end of Willow Road,Routine,Sand,8,S
2058525.19107398,-4026214.70513211,627,INLD_410,1,INLD,NR31,Chemical & Bacterial,River,"Access from M5, 400m before exit 15 to Racecourse Road off ramp",Routine,Salt,8,S
2046127.16860609,-4042433.71697447,628,INLD_378,1,INLD,BWS01,Chemical & Bacterial,River,Brookwood Stream on Noordhoek Main Road ,Routine,Nhoek,8,S
2053136.39051342,-4035998.37900958,629,INLD_385,1,INLD,CR32,Chemical & Bacterial,River,"Prinskasteel River, Sweet Valley Vineyard Estate at end of Lismore Avenue",Routine,Sand,8,S
2052735.6205015,-4032877.84034113,630,INLD_386,1,INLD,CR33,Chemical & Bacterial,River,Spaanschemat River at Spaanschemat Road,Routine,Sand,8,S
2043856.05414949,-4034550.73999117,631,INLD_373,1,INLD,BKR01,Chemical & Bacterial,River,Baviaanskloof River on Baviaanskloof Road at bridge,Routine,HBay,8,S
2053177.60632104,-4026980.73130669,632,INLD_411,1,INLD,NR32,Chemical & Bacterial,River,Liesbeek River at Kirstenbosch Drive,Routine,Salt,8,S
2065080.79168435,-4029214.16752566,633,INLD_400,1,INLD,ESDP01,Chemical & Bacterial,Detention Pond,Edith Stephens Nature Reserve pond inlet on Jakes Gerwel Drive (first pond),Routine,Zeekoe,6,S
2065008.88655508,-4028899.01840044,634,INLD_401,1,INLD,ESDP02,Chemical & Bacterial,Detention Pond,Edith Stephens Nature Reserve pond outlet on Govan Mbeki Road (middle pond),Routine,Zeekoe,6,S
2056290.44276026,-4039151.62659562,635,INLD_406,1,INLD,LVC,Chemical & Bacterial,River,Langevlei canal before confluence with Sand River,Routine,Sand,8,S
2059063.41462003,-4037304.19306106,636,INLD_415,1,INLD,RVS,Chemical & Bacterial,Vlei & Wetland,"Main waterbody at Jack Winterbottom bird hide, Rondevlei Nature Reserve",Routine,Zeekoe,6,S
2050912.28036165,-4053441.72600436,637,INLD_420,1,INLD,SMT01,Chemical & Bacterial,River,"Palace Hill Road, Simon's Town",Routine,SPen,8,S
2052355.54479614,-4038710.13771236,638,INLD_423,1,INLD,CR04A,Chemical & Bacterial,River,Westlake River downstream of Pollsmoor Prison Grounds - opposite Westlake Primary School at bridge,Routine,Sand,8,S
2057582.16149329,-3963603.38966988,639,INLD_424,1,INLD,MOD01,Chemical & Bacterial,River,"Louwskloof River, tributary of Modder River upstream of Mamre town, on Dassenberg Road",Routine,Atls,1,C
